seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2018Q2,2018,2,seller_1248,,83,83,82,3,94,2157.54,8,25.666666666666668,5.0,14,3,3,maringa,PR
2018Q2,2018,2,seller_679,,8,8,8,0,8,1223.7,0,22.858333333333334,5.0,3,3,3,blumenau,SC
2018Q2,2018,2,seller_1272,,12,12,13,0,13,2665.07,0,20.391666666666666,5.0,10,3,3,santo andre,SP
2018Q2,2018,2,seller_2054,,20,20,20,0,19,1791.0,0,27.366666666666667,5.0,3,3,3,contagem,MG
2018Q2,2018,2,seller_2654,,29,29,29,0,30,1287.87,1,26.433333333333334,5.0,15,3,3,sao paulo,SP
2018Q2,2018,2,seller_3075,,156,156,151,6,140,20515.28,6,23.783333333333335,5.0,3,3,3,hortolandia,SP
2018Q2,2018,2,seller_643,,151,151,149,0,148,8527.4,11,26.466666666666665,5.0,16,3,3,praia grande,SP
2018Q2,2018,2,seller_2506,,13,13,13,0,14,2255.81,2,23.566666666666666,4.0,16,3,3,ibitinga,SP
2018Q2,2018,2,seller_1310,,14,14,14,0,17,2138.9,2,22.233333333333334,5.0,11,3,3,santo andre,SP
2018Q2,2018,2,seller_2441,,49,49,47,1,49,4847.3,4,23.583333333333332,5.0,17,3,3,patos de minas,MG
2018Q2,2018,2,seller_1591,,23,23,23,0,27,1267.25,3,22.35,5.0,14,3,3,rio de janeiro,RJ
2018Q2,2018,2,seller_1946,,2,2,2,0,2,58.91,0,2673.5416666666665,5.0,2,2,2,blumenau,SC
2018Q2,2018,2,seller_502,,22,22,25,0,29,5015.48,7,68.80833333333334,4.0,18,3,3,sao paulo,SP
2018Q2,2018,2,seller_1399,,26,26,23,1,21,1717.37,1,23.533333333333335,5.0,3,3,3,sao paulo,SP
2018Q2,2018,2,seller_2138,,5,5,5,0,6,3526.5299999999997,1,136.45,5.0,14,3,3,braganca paulista,SP
2018Q2,2018,2,seller_606,,35,35,35,2,35,1251.5,1,464.03333333333336,4.0,19,3,3,sao paulo,SP
2018Q2,2018,2,seller_167,,8,8,8,0,10,2171.0,0,20.641666666666666,5.0,16,2,2,belo horizonte,MG
2018Q2,2018,2,seller_2666,,7,7,7,0,7,1163.1000000000001,0,26.516666666666666,5.0,2,3,2,presidente prudente,SP
