seller_active_quarter,year,quarter,seller_id,is_churn,n_orders,n_approved_orders,n_delivered_carrier,n_orders_late_to_carrier,n_delivered_customers,sales,n_orders_late_to_customer,median_approve_time,median_review_score,tenure_months,last_month_active_quarter,n_months_active_quarter,seller_city,seller_state
2017Q1,2017,1,seller_352,False,1,1,1,0,1,169.99,0,9.783333333333333,5.0,1,2,1,curitiba,PR
2017Q3,2017,3,seller_1371,False,2,2,2,0,2,328.0,0,9.641666666666667,3.0,2,2,2,florianopolis,SC
2017Q4,2017,4,seller_2827,True,1,1,1,0,1,60.99,0,2231.4,5.0,1,2,1,sao paulo,SP
2018Q1,2018,1,seller_264,False,1,1,0,0,0,0.0,0,1313.2333333333333,0.0,1,2,1,osasco,SP
2017Q1,2017,1,seller_2552,True,3,3,3,0,3,63.18,0,13.433333333333334,5.0,1,3,1,capivari,SP
2017Q2,2017,2,seller_2600,False,1,1,1,0,1,239.9,0,12.533333333333333,5.0,1,3,1,sao paulo,SP
2017Q4,2017,4,seller_368,False,1,1,1,0,1,14.24,0,1815.2166666666667,5.0,1,2,1,brusque,SC
2018Q1,2018,1,seller_1822,False,1,1,1,0,1,189.9,0,17.683333333333334,4.0,1,2,1,catanduva,SP
2017Q3,2017,3,seller_2505,False,1,1,1,0,1,79.9,0,16.816666666666666,4.0,1,2,1,ribeirao preto,SP
2017Q2,2017,2,seller_486,False,1,1,1,0,1,259.9,0,962.2666666666667,5.0,1,1,1,sete lagoas,MG
2018Q1,2018,1,seller_2523,False,1,1,1,0,1,179.9,1,10.7,1.0,5,3,1,novo hamburgo,RS
2017Q1,2017,1,seller_2909,True,3,3,3,0,3,38.7,0,594.25,4.0,1,2,1,sao jose dos campos,SP
2017Q1,2017,1,seller_322,False,1,1,1,1,0,0.0,0,0.0,0.0,1,3,1,curitiba,PR
2017Q2,2017,2,seller_1908,True,1,1,1,0,1,328.9,0,10.016666666666667,5.0,1,2,1,itapetininga,SP
2017Q3,2017,3,seller_2977,False,2,2,2,0,0,0.0,0,791.825,0.0,1,3,1,sao caetano do sul,SP
2017Q2,2017,2,seller_1737,False,2,2,2,0,2,58.97,0,786.7083333333334,2.0,2,3,2,nova friburgo,RJ
2017Q4,2017,4,seller_2213,True,1,1,1,0,1,2899.0,0,973.2333333333333,3.0,1,2,1,piracicaba,SP
2017Q3,2017,3,seller_2913,False,1,1,1,0,0,0.0,0,1447.1833333333334,0.0,1,3,1,santo andre,SP
2017Q1,2017,1,seller_906,True,2,2,0,0,0,0.0,0,11.066666666666666,0.0,1,2,1,ribeirao preto,SP
2017Q2,2017,2,seller_1947,False,1,1,1,0,1,158.4,0,15.183333333333334,5.0,1,1,1,venancio aires,RS
2017Q4,2017,4,seller_261,False,1,1,1,0,1,49.98,0,11.766666666666667,1.0,1,2,1,blumenau,SC
2017Q1,2017,1,seller_3034,False,1,1,1,0,1,199.8,0,1825.7833333333333,5.0,1,2,1,rodeio,SC
2017Q4,2017,4,seller_2473,False,2,2,2,0,1,439.0,0,42.09166666666667,5.0,2,3,2,porto alegre,RS
2017Q3,2017,3,seller_1724,True,1,1,1,0,1,109.9,0,16.3,5.0,1,2,1,blumenau,SC
2018Q1,2018,1,seller_752,False,1,1,1,0,1,699.9,0,1511.7333333333333,4.0,1,3,1,sao paulo,SP
2017Q2,2017,2,seller_2749,False,2,2,0,0,0,0.0,0,730.0666666666667,0.0,1,3,1,novo hamburgo,RS
2017Q2,2017,2,seller_1630,False,2,2,1,0,1,149.9,0,1818.525,5.0,2,3,2,formiga,MG
2017Q3,2017,3,seller_2134,False,1,1,1,0,1,114.0,0,11.7,5.0,2,2,1,santo antonio de padua,RJ
2017Q2,2017,2,seller_2296,False,1,1,1,0,1,89.99,0,12.583333333333334,5.0,1,2,1,sao goncalo,RJ
2017Q3,2017,3,seller_93,True,2,2,2,0,2,51.8,0,16.625,3.0,5,1,1,itaborai,RJ
2018Q1,2018,1,seller_2871,True,2,2,0,0,0,0.0,0,260.96666666666664,0.0,1,1,1,curitiba,PR
2017Q3,2017,3,seller_495,True,1,1,1,0,0,0.0,0,4838.7,0.0,2,3,1,uberlandia,MG
2017Q4,2017,4,seller_628,False,0,1,1,1,1,96.0,0,3215.4,4.0,6,1,1,mucambo,CE
